Company Name,Variable,T1,T2,T3,T4
Atlas Property investors,Font Color 1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Atlas Property investors,Font Color 2,#3FC3FF,#3FC3FF,#3FC3FF,#3FC3FF
Atlas Property investors,Font Color 3,,#081330,#2C78E4,#E6F4FF
Atlas Property investors,Font Color 4,,,,#081330
Atlas Property investors,Block Color 1,#081330,#081330,#081330,#081330
Atlas Property investors,Block Color 2,#0F2B76,#E6F4FF,,
Win Win Property Buyer,Font Color 1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Win Win Property Buyer,Font Color 2,#3FC3FF,#3FC3FF,#3FC3FF,#3FC3FF
Win Win Property Buyer,Font Color 3,,#081330,#2C78E4,#E6F4FF
Win Win Property Buyer,Font Color 4,,,,#081330
Win Win Property Buyer,Block Color 1,#081330,#081330,#081330,#081330
Win Win Property Buyer,Block Color 2,#0F2B76,#E6F4FF,,
Easy Sell Property Solutions,Font Color 1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Easy Sell Property Solutions,Font Color 2,#3FC3FF,#3FC3FF,#3FC3FF,#3FC3FF
Easy Sell Property Solutions,Font Color 3,,#081330,#2C78E4,#E6F4FF
Easy Sell Property Solutions,Font Color 4,,,,#081330
Easy Sell Property Solutions,Block Color 1,#081330,#081330,#081330,#081330
Easy Sell Property Solutions,Block Color 2,#0F2B76,#E6F4FF,,
Cava Companies,Font Color 1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Cava Companies,Font Color 2,#3FC3FF,#3FC3FF,#3FC3FF,#3FC3FF
Cava Companies,Font Color 3,,#081330,#2C78E4,#E6F4FF
Cava Companies,Font Color 4,,,,#081330
Cava Companies,Block Color 1,#081330,#081330,#081330,#081330
Cava Companies,Block Color 2,#0F2B76,#E6F4FF,,
Sell Now Wisconsin,Font Color 1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
Sell Now Wisconsin,Font Color 2,#3FC3FF,#3FC3FF,#3FC3FF,#3FC3FF
Sell Now Wisconsin,Font Color 3,,#081330,#2C78E4,#E6F4FF
Sell Now Wisconsin,Font Color 4,,,,#081330
Sell Now Wisconsin,Block Color 1,#081330,#081330,#081330,#081330
Sell Now Wisconsin,Block Color 2,#0F2B76,#E6F4FF,,
LVN Real Estate,Font Color 1,#E6F4FF,#E6F4FF,#E6F4FF,#081330
LVN Real Estate,Font Color 2,#3FC3FF,#3FC3FF,#3FC3FF,#3FC3FF
LVN Real Estate,Font Color 3,,#081330,#2C78E4,#E6F4FF
LVN Real Estate,Font Color 4,,,,#081330
LVN Real Estate,Block Color 1,#081330,#081330,#081330,#081330
LVN Real Estate,Block Color 2,#0F2B76,#E6F4FF,,
